NAME,median_income,poverty_count,poverty_universe,zcta
ZCTA5 10001,101409.0,3557,26023.0,10001
ZCTA5 10002,37093.0,20554,76047.0,10002
ZCTA5 10003,137533.0,4872,44965.0,10003
ZCTA5 10004,216017.0,141,4794.0,10004
ZCTA5 10005,197188.0,303,8637.0,10005
ZCTA5 10006,200536.0,427,3894.0,10006
ZCTA5 10007,250001.0,189,7416.0,10007
ZCTA5 10009,77551.0,14309,59953.0,10009
ZCTA5 10010,131635.0,2859,30923.0,10010
ZCTA5 10011,139343.0,4894,49946.0,10011
ZCTA5 10012,117581.0,2635,21367.0,10012
ZCTA5 10013,137572.0,2801,27371.0,10013
ZCTA5 10014,136559.0,1950,29474.0,10014
ZCTA5 10016,136431.0,4790,55427.0,10016
ZCTA5 10017,136112.0,1123,15474.0,10017
ZCTA5 10018,130457.0,809,8039.0,10018
ZCTA5 10019,105538.0,5404,43848.0,10019
ZCTA5 10020,,0,,10020
ZCTA5 10021,136060.0,1963,42011.0,10021
ZCTA5 10022,156255.0,1920,32819.0,10022
ZCTA5 10023,136109.0,5058,64261.0,10023
ZCTA5 10024,153177.0,5057,63220.0,10024
ZCTA5 10025,103440.0,13260,92600.0,10025
ZCTA5 10026,65038.0,7393,39184.0,10026
ZCTA5 10027,58435.0,13388,58455.0,10027
ZCTA5 10028,149789.0,2343,47776.0,10028
ZCTA5 10029,33901.0,23366,75203.0,10029
ZCTA5 10030,42834.0,9204,31499.0,10030
ZCTA5 10031,57180.0,14265,61606.0,10031
ZCTA5 10032,55059.0,11068,59271.0,10032
ZCTA5 10033,71630.0,8903,59845.0,10033
ZCTA5 10034,63851.0,6553,43241.0,10034
ZCTA5 10035,32555.0,12019,35795.0,10035
ZCTA5 10036,98177.0,4141,30331.0,10036
ZCTA5 10037,48782.0,4783,19130.0,10037
ZCTA5 10038,99924.0,4360,22415.0,10038
ZCTA5 10039,50164.0,7249,27232.0,10039
ZCTA5 10040,54700.0,8526,44426.0,10040
ZCTA5 10044,115294.0,767,10974.0,10044
ZCTA5 10065,152335.0,1915,31098.0,10065
ZCTA5 10069,183178.0,1538,5774.0,10069
ZCTA5 10075,131372.0,2796,22916.0,10075
ZCTA5 10103,,0,,10103
ZCTA5 10110,,0,,10110
ZCTA5 10111,,0,,10111
ZCTA5 10112,,0,,10112
ZCTA5 10115,,0,,10115
ZCTA5 10119,,0,,10119
ZCTA5 10128,127919.0,4809,57883.0,10128
ZCTA5 10152,,0,,10152
ZCTA5 10153,,0,,10153
ZCTA5 10154,,0,,10154
ZCTA5 10162,99300.0,0,2268.0,10162
ZCTA5 10165,,0,,10165
ZCTA5 10167,,0,,10167
ZCTA5 10168,,0,,10168
ZCTA5 10169,,0,,10169
ZCTA5 10170,,0,,10170
ZCTA5 10171,,0,,10171
ZCTA5 10172,,0,,10172
ZCTA5 10173,,0,,10173
ZCTA5 10174,,0,,10174
ZCTA5 10177,,0,,10177
ZCTA5 10199,,0,,10199
ZCTA5 10271,,0,,10271
ZCTA5 10278,,0,,10278
ZCTA5 10279,,0,131.0,10279
ZCTA5 10280,178148.0,245,8582.0,10280
ZCTA5 10282,250001.0,286,6419.0,10282
ZCTA5 10301,78053.0,4801,37374.0,10301
ZCTA5 10302,73927.0,3344,18066.0,10302
ZCTA5 10303,69879.0,5302,27351.0,10303
ZCTA5 10304,64539.0,7282,42497.0,10304
ZCTA5 10305,76833.0,4096,44097.0,10305
ZCTA5 10306,88687.0,4839,55340.0,10306
ZCTA5 10307,117469.0,637,14819.0,10307
ZCTA5 10308,116082.0,1592,30352.0,10308
ZCTA5 10309,107500.0,2636,35729.0,10309
ZCTA5 10310,96161.0,3452,25811.0,10310
ZCTA5 10311,,0,,10311
ZCTA5 10312,100875.0,3649,63873.0,10312
ZCTA5 10314,94578.0,8652,92663.0,10314
ZCTA5 10451,33945.0,17073,50053.0,10451
ZCTA5 10452,33877.0,27744,79250.0,10452
ZCTA5 10453,34860.0,26605,79748.0,10453
ZCTA5 10454,21846.0,17244,38493.0,10454
ZCTA5 10455,30741.0,15120,42447.0,10455
ZCTA5 10456,31166.0,33294,88943.0,10456
ZCTA5 10457,38066.0,25775,78410.0,10457
ZCTA5 10458,38768.0,25752,83515.0,10458
ZCTA5 10459,36631.0,15125,50814.0,10459
ZCTA5 10460,31504.0,20684,59567.0,10460
ZCTA5 10461,61087.0,7641,51668.0,10461
ZCTA5 10462,59032.0,14394,77926.0,10462
ZCTA5 10463,63048.0,13353,70920.0,10463
ZCTA5 10464,118972.0,272,4417.0,10464
ZCTA5 10465,80245.0,5989,44031.0,10465
ZCTA5 10466,62918.0,12951,74818.0,10466
ZCTA5 10467,42639.0,25754,100520.0,10467
ZCTA5 10468,40138.0,22073,81233.0,10468
ZCTA5 10469,70415.0,10966,72759.0,10469
ZCTA5 10470,70107.0,1548,16368.0,10470
ZCTA5 10471,96368.0,1360,20112.0,10471
ZCTA5 10472,36730.0,19980,66194.0,10472
ZCTA5 10473,48212.0,13378,59424.0,10473
ZCTA5 10474,33157.0,4091,10498.0,10474
ZCTA5 10475,56327.0,5229,43185.0,10475
ZCTA5 11001,132344.0,744,26799.0,11001
ZCTA5 11003,107088.0,2676,45999.0,11003
ZCTA5 11004,100174.0,1449,15628.0,11004
ZCTA5 11005,60800.0,261,2075.0,11005
ZCTA5 11040,140368.0,1264,42599.0,11040
ZCTA5 11101,98920.0,4258,33414.0,11101
ZCTA5 11102,95478.0,3910,27594.0,11102
ZCTA5 11103,82597.0,3740,35840.0,11103
ZCTA5 11104,81142.0,2753,27496.0,11104
ZCTA5 11105,93200.0,3999,38274.0,11105
ZCTA5 11106,71972.0,4384,40367.0,11106
ZCTA5 11109,160898.0,125,6712.0,11109
ZCTA5 11201,148282.0,6951,65228.0,11201
ZCTA5 11203,61414.0,10498,77811.0,11203
ZCTA5 11204,58850.0,15310,81799.0,11204
ZCTA5 11205,68607.0,14399,48925.0,11205
ZCTA5 11206,49013.0,31273,90741.0,11206
ZCTA5 11207,45616.0,25978,96860.0,11207
ZCTA5 11208,49679.0,23607,106908.0,11208
ZCTA5 11209,84145.0,7665,72459.0,11209
ZCTA5 11210,77378.0,6502,65393.0,11210
ZCTA5 11211,89091.0,14435,65775.0,11211
ZCTA5 11212,30733.0,24523,77236.0,11212
ZCTA5 11213,48896.0,14153,68211.0,11213
ZCTA5 11214,58487.0,17203,94471.0,11214
ZCTA5 11215,156930.0,4351,72990.0,11215
ZCTA5 11216,84661.0,8730,61933.0,11216
ZCTA5 11217,133269.0,5339,41487.0,11217
ZCTA5 11218,81857.0,10490,75630.0,11218
ZCTA5 11219,44450.0,31973,92137.0,11219
ZCTA5 11220,57046.0,20329,92927.0,11220
ZCTA5 11221,66923.0,19291,89384.0,11221
ZCTA5 11222,110385.0,3571,39514.0,11222
ZCTA5 11223,57281.0,16066,83367.0,11223
ZCTA5 11224,37241.0,13523,47025.0,11224
ZCTA5 11225,68542.0,9286,59400.0,11225
ZCTA5 11226,66173.0,13973,99283.0,11226
ZCTA5 11228,77189.0,5716,44998.0,11228
ZCTA5 11229,69076.0,12882,85265.0,11229
ZCTA5 11230,61017.0,16597,91292.0,11230
ZCTA5 11231,121638.0,5722,40234.0,11231
ZCTA5 11232,77031.0,4388,26152.0,11232
ZCTA5 11233,52380.0,21764,85049.0,11233
ZCTA5 11234,86185.0,7724,94128.0,11234
ZCTA5 11235,58669.0,13619,83824.0,11235
ZCTA5 11236,73562.0,12751,101412.0,11236
ZCTA5 11237,65908.0,11955,50365.0,11237
ZCTA5 11238,114427.0,6391,58122.0,11238
ZCTA5 11239,33736.0,3990,15816.0,11239
ZCTA5 11354,52273.0,9094,51624.0,11354
ZCTA5 11355,46963.0,16682,80500.0,11355
ZCTA5 11356,73318.0,2958,27281.0,11356
ZCTA5 11357,88580.0,3291,43636.0,11357
ZCTA5 11358,74854.0,3381,38013.0,11358
ZCTA5 11359,,0,,11359
ZCTA5 11360,92851.0,1277,19986.0,11360
ZCTA5 11361,93734.0,2709,29338.0,11361
ZCTA5 11362,100528.0,1288,19058.0,11362
ZCTA5 11363,98111.0,649,7414.0,11363
ZCTA5 11364,90970.0,2718,38929.0,11364
ZCTA5 11365,73279.0,4732,45397.0,11365
ZCTA5 11366,100781.0,1576,13791.0,11366
ZCTA5 11367,71469.0,5234,41181.0,11367
ZCTA5 11368,62254.0,20305,114762.0,11368
ZCTA5 11369,66132.0,4373,30808.0,11369
ZCTA5 11370,67241.0,1861,22996.0,11370
ZCTA5 11371,,0,,11371
ZCTA5 11372,62910.0,9401,66685.0,11372
ZCTA5 11373,62072.0,10029,101150.0,11373
ZCTA5 11374,79221.0,5484,46727.0,11374
ZCTA5 11375,96321.0,4593,75635.0,11375
ZCTA5 11377,66325.0,7593,84820.0,11377
ZCTA5 11378,85464.0,4043,39757.0,11378
ZCTA5 11379,88672.0,2675,39326.0,11379
ZCTA5 11385,77350.0,12002,108882.0,11385
ZCTA5 11411,108131.0,1081,21546.0,11411
ZCTA5 11412,93429.0,3722,41597.0,11412
ZCTA5 11413,104236.0,2942,45260.0,11413
ZCTA5 11414,86113.0,2357,30719.0,11414
ZCTA5 11415,80360.0,1679,20187.0,11415
ZCTA5 11416,76477.0,3959,26956.0,11416
ZCTA5 11417,78498.0,4280,33174.0,11417
ZCTA5 11418,77708.0,4016,38478.0,11418
ZCTA5 11419,84245.0,5193,49927.0,11419
ZCTA5 11420,89027.0,4727,51622.0,11420
ZCTA5 11421,76721.0,4235,42626.0,11421
ZCTA5 11422,95945.0,2756,33891.0,11422
ZCTA5 11423,69386.0,3121,30595.0,11423
ZCTA5 11424,,0,,11424
ZCTA5 11426,102818.0,1214,20857.0,11426
ZCTA5 11427,84000.0,2475,25513.0,11427
ZCTA5 11428,83417.0,1596,21005.0,11428
ZCTA5 11429,89318.0,2010,28379.0,11429
ZCTA5 11430,,155,208.0,11430
ZCTA5 11432,66246.0,8587,63249.0,11432
ZCTA5 11433,68801.0,5741,41090.0,11433
ZCTA5 11434,66546.0,7057,65500.0,11434
ZCTA5 11435,71346.0,8226,60170.0,11435
ZCTA5 11436,78306.0,2346,21070.0,11436
ZCTA5 11451,,0,,11451
ZCTA5 11691,54877.0,13797,68531.0,11691
ZCTA5 11692,53498.0,4514,23711.0,11692
ZCTA5 11693,64688.0,2346,13953.0,11693
ZCTA5 11694,88643.0,2817,21521.0,11694
ZCTA5 11697,113047.0,148,3782.0,11697
