station_complex_id,station_complex,latitude,longitude,MODZCTA
1,"Astoria-Ditmars Blvd (N,W)",40.775036,-73.91203,11105
10,"49 St (N,R,W)",40.7599,-73.98414,10019
100,"Hewes St (M,J)",40.70687,-73.95343,11211
101,"Marcy Av (M,J,Z)",40.70836,-73.957756,11211
103,"Bowery (J,Z)",40.72028,-73.99391,10002
107,"Broad St (J,Z)",40.706474,-74.011055,10005
108,Middle Village-Metropolitan Av (M),40.711395,-73.8896,11379
109,Fresh Pond Rd (M),40.706184,-73.895874,11385
110,Forest Av (M),40.704422,-73.903076,11385
111,Seneca Av (M),40.702763,-73.90774,11385
113,Knickerbocker Av (M),40.698666,-73.91971,11237
114,Central Av (M),40.697857,-73.9274,11221
118,3 Av (L),40.73285,-73.98612,10003
119,1 Av (L),40.730953,-73.98163,10009
120,Bedford Av (L),40.717304,-73.95687,11211
122,Graham Av (L),40.714565,-73.94405,11211
123,Grand St (L),40.711926,-73.94067,11206
124,Montrose Av (L),40.70774,-73.93985,11206
125,Morgan Av (L),40.706154,-73.93314,11206
126,Jefferson St (L),40.706608,-73.92291,11237
127,DeKalb Av (L),40.70381,-73.91843,11237
129,Halsey St (L),40.695602,-73.90408,11385
13,"28 St (R,W)",40.745495,-73.98869,10001
130,Wilson Av (L),40.688763,-73.904045,11207
131,Bushwick Av-Aberdeen St (L),40.68283,-73.90525,11207
133,Atlantic Av (L),40.675346,-73.9031,11207
134,Sutter Av (L),40.66937,-73.90198,11212
135,Livonia Av (L),40.66404,-73.90057,11212
136,New Lots Av (L),40.658733,-73.89923,11212
137,East 105 St (L),40.650574,-73.89948,11236
138,Canarsie-Rockaway Pkwy (L),40.646652,-73.90185,11236
14,"23 St (R,W)",40.741302,-73.98934,10010
141,Park Pl (S),40.67477,-73.95763,11238
143,Inwood-207 St (A),40.868073,-73.9199,10034
144,Dyckman St (A),40.86549,-73.92727,10040
145,190 St (A),40.85902,-73.93418,10040
146,181 St (A),40.851696,-73.937965,10033
147,175 St (A),40.84739,-73.939705,10033
149,163 St-Amsterdam Av (C),40.836014,-73.939896,10032
150,155 St (C),40.830517,-73.94151,10032
151,"145 St (A,C,B,D)",40.824783,-73.944214,10031
152,"135 St (C,B)",40.817894,-73.94765,10027
153,"125 St (A,C,B,D)",40.811108,-73.95235,10027
154,"116 St (C,B)",40.805084,-73.95488,10026
155,"Cathedral Pkwy (110 St) (C,B)",40.800602,-73.95816,10026
156,"103 St (C,B)",40.796093,-73.96146,10025
157,"96 St (C,B)",40.79164,-73.9647,10025
158,"86 St (C,B)",40.78587,-73.96892,10024
159,"81 St-Museum of Natural History (C,B)",40.781433,-73.972145,10024
16,"8 St-NYU (R,W)",40.730328,-73.99263,10003
160,"72 St (C,B)",40.775593,-73.97641,10023
162,"50 St (C,E)",40.762455,-73.985985,10019
164,"34 St-Penn Station (A,C,E)",40.75229,-73.99339,10001
165,"23 St (C,E)",40.745907,-73.99804,10011
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",40.732338,-74.000496,10014
168,"Spring St (C,E)",40.726227,-74.00374,10012
169,"Canal St (A,C,E)",40.720825,-74.005226,10013
17,"Prince St (R,W)",40.72433,-73.9977,10012
173,"High St (A,C)",40.699337,-73.99053,11201
175,"Hoyt-Schermerhorn Sts (A,C,G)",40.688484,-73.985,11201
176,Lafayette Av (C),40.68611,-73.973946,11217
177,Clinton-Washington Avs (C),40.68326,-73.965836,11238
179,"Nostrand Av (A,C)",40.68044,-73.950424,11216
180,Kingston-Throop Avs (C),40.67992,-73.94086,11216
181,"Utica Av (A,C)",40.679363,-73.93073,11233
182,Ralph Av (C),40.67882,-73.920784,11233
183,Rockaway Av (C),40.67834,-73.91195,11233
185,Liberty Av (C),40.67454,-73.896545,11207
186,Van Siclen Av (C),40.67271,-73.89036,11207
187,Shepherd Av (C),40.67413,-73.88075,11208
188,"Euclid Av (A,C)",40.675377,-73.87211,11208
189,Grant Av (A),40.677044,-73.86505,11208
190,80 St (A),40.67937,-73.85899,11417
191,88 St (A),40.679844,-73.85147,11417
192,Rockaway Blvd (A),40.680428,-73.84386,11417
193,104 St (A),40.68171,-73.837685,11417
194,111 St (A),40.68433,-73.83216,11419
195,Ozone Park-Lefferts Blvd (A),40.68595,-73.8258,11419
196,Aqueduct Racetrack (A),40.672096,-73.83592,11420
197,Aqueduct-N Conduit Av (A),40.668236,-73.83406,11417
198,Howard Beach-JFK Airport (A),40.660477,-73.8303,11434
199,"Broad Channel (A,S)",40.608383,-73.815926,11693
2,"Astoria Blvd (N,W)",40.77026,-73.91785,11102
20,"City Hall (R,W)",40.713284,-74.00698,10007
200,"Beach 90 St (A,S)",40.588036,-73.813644,11693
201,"Beach 98 St (A,S)",40.585308,-73.82056,11694
202,"Beach 105 St (A,S)",40.58321,-73.82756,11694
203,"Rockaway Park-Beach 116 St (A,S)",40.580902,-73.835594,11694
204,Beach 67 St (A),40.590927,-73.79692,11692
205,Beach 60 St (A),40.592373,-73.78852,11692
206,Beach 44 St (A),40.59294,-73.77602,11691
207,Beach 36 St (A),40.595398,-73.76817,11691
208,Beach 25 St (A),40.600067,-73.76135,11691
209,Far Rockaway-Mott Av (A),40.603996,-73.7554,11691
210,Norwood-205 St (D),40.87481,-73.87885,10467
211,"Bedford Park Blvd (B,D)",40.873245,-73.88714,10458
212,"Kingsbridge Rd (B,D)",40.866978,-73.89351,10458
213,"Fordham Rd (B,D)",40.861298,-73.89775,10458
214,"182-183 Sts (B,D)",40.856094,-73.90074,10457
215,"Tremont Av (B,D)",40.85041,-73.90523,10457
216,"174-175 Sts (B,D)",40.8459,-73.91013,10453
217,"170 St (B,D)",40.839306,-73.9134,10456
218,"167 St (B,D)",40.83377,-73.91844,10452
22,"Rector St (R,W)",40.70722,-74.01334,10006
220,"155 St (B,D)",40.830135,-73.93821,10039
221,21 St-Queensbridge (F),40.754204,-73.94283,11101
222,Roosevelt Island (F),40.759144,-73.95326,10044
223,"Lexington Av/63 St (F,Q)",40.76463,-73.96611,10065
224,57 St (F),40.763973,-73.97745,10019
225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",40.758663,-73.98133,10019
228,"23 St (F,M)",40.742878,-73.99282,10010
231,"Grand St (B,D)",40.718266,-73.99375,10002
232,2 Av (F),40.7234,-73.98994,10003
234,East Broadway (F),40.713715,-73.99017,10002
235,York St (F),40.701397,-73.98675,11201
236,"Bergen St (F,G)",40.686146,-73.99086,11201
237,"Carroll St (F,G)",40.6803,-73.99505,11231
238,"Smith-9 Sts (F,G)",40.67358,-73.99596,11215
240,"7 Av (F,G)",40.66627,-73.98031,11215
241,"15 St-Prospect Park (F,G)",40.660366,-73.97949,11215
242,"Fort Hamilton Pkwy (F,G)",40.650784,-73.97578,11218
243,"Church Av (F,G)",40.64404,-73.979675,11218
244,Ditmas Av (F),40.63612,-73.97817,11218
245,18 Av (F),40.629753,-73.976974,11230
246,Avenue I (F),40.62532,-73.97613,11204
247,Bay Pkwy (F),40.62077,-73.975266,11230
248,Avenue N (F),40.61514,-73.9742,11230
249,Avenue P (F),40.608944,-73.97302,11230
250,Kings Hwy (F),40.603218,-73.97236,11223
251,Avenue U (F),40.59606,-73.97336,11223
252,Avenue X (F),40.58962,-73.97425,11223
253,Neptune Av (F),40.581013,-73.97457,11224
254,Jamaica-179 St (F),40.712646,-73.78381,11432
255,169 St (F),40.71047,-73.7936,11432
256,Parsons Blvd (F),40.707565,-73.80333,11432
257,Sutphin Blvd (F),40.70546,-73.81071,11435
258,"Briarwood (E,F)",40.70918,-73.82057,11415
259,"Kew Gardens-Union Tpke (E,F)",40.71444,-73.83101,11375
26,"DeKalb Av (B,Q,R)",40.690636,-73.98183,11201
260,"75 Av (E,F)",40.71833,-73.837326,11375
261,"Forest Hills-71 Av (E,F,M,R)",40.72169,-73.84452,11375
262,"67 Av (M,R)",40.726524,-73.85272,11375
263,"63 Dr-Rego Park (M,R)",40.729847,-73.8616,11374
264,"Woodhaven Blvd (M,R)",40.733105,-73.86923,11373
265,"Grand Av-Newtown (M,R)",40.737015,-73.87722,11373
266,"Elmhurst Av (M,R)",40.742455,-73.88202,11373
268,"65 St (M,R)",40.74967,-73.89845,11377
269,"Northern Blvd (M,R)",40.752884,-73.906006,11377
270,"46 St (M,R)",40.756313,-73.91333,11103
271,"Steinway St (M,R)",40.756878,-73.92074,11103
272,"36 St (M,R)",40.75204,-73.92878,11101
273,"Queens Plaza (E,M,R)",40.748974,-73.93724,11101
276,"5 Av/53 St (E,M)",40.760166,-73.97523,10022
277,"7 Av (E,B,D)",40.762863,-73.981636,10019
278,"Jamaica Center-Parsons/Archer (E,J,Z)",40.70215,-73.80111,11433
279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",40.700485,-73.80797,11435
28,Union St (R),40.677315,-73.98311,11215
280,Jamaica-Van Wyck (E),40.702564,-73.81686,11418
282,21 St (G),40.744064,-73.94972,11101
283,Greenpoint Av (G),40.731354,-73.95445,11222
284,Nassau Av (G),40.724636,-73.95128,11222
286,Broadway (G),40.706093,-73.95031,11206
287,Flushing Av (G),40.70038,-73.95023,11206
288,Myrtle-Willoughby Avs (G),40.69457,-73.94904,11206
289,Bedford-Nostrand Avs (G),40.68963,-73.95352,11205
290,Classon Av (G),40.688873,-73.96007,11238
291,Clinton-Washington Avs (G),40.688087,-73.96684,11238
292,Fulton St (G),40.68712,-73.97537,11217
293,Van Cortlandt Park-242 St (1),40.889248,-73.89858,10471
294,238 St (1),40.884666,-73.90087,10463
295,231 St (1),40.878857,-73.90483,10463
296,Marble Hill-225 St (1),40.87456,-73.90983,10463
297,215 St (1),40.869446,-73.915276,10034
298,207 St (1),40.86462,-73.91882,10034
299,Dyckman St (1),40.86053,-73.92554,10040
3,"30 Av (N,W)",40.76678,-73.92148,11102
30,Prospect Av (R),40.665413,-73.992874,11215
300,191 St (1),40.855225,-73.92941,10040
301,181 St (1),40.849506,-73.93359,10033
303,157 St (1),40.83404,-73.94489,10032
304,145 St (1),40.82655,-73.95036,10031
305,137 St-City College (1),40.822006,-73.953674,10031
306,125 St (1),40.815582,-73.958374,10027
307,116 St-Columbia University (1),40.80772,-73.96411,10025
308,Cathedral Pkwy (110 St) (1),40.803967,-73.96685,10025
309,103 St (1),40.799446,-73.968376,10025
31,25 St (R),40.660397,-73.99809,11232
310,"96 St (1,2,3)",40.79392,-73.97232,10025
311,86 St (1),40.788643,-73.97622,10024
312,79 St (1),40.783936,-73.97992,10024
313,"72 St (1,2,3)",40.778454,-73.98197,10023
314,66 St-Lincoln Center (1),40.77344,-73.98221,10023
316,50 St (1),40.761726,-73.98385,10019
318,"34 St-Penn Station (1,2,3)",40.750374,-73.99106,10001
319,28 St (1),40.747215,-73.99336,10001
32,"36 St (D,N,R)",40.655144,-74.00355,11232
320,23 St (1),40.74408,-73.99566,10011
321,18 St (1),40.74104,-73.99787,10011
323,Christopher St-Sheridan Sq (1),40.73342,-74.00291,10014
324,Houston St (1),40.728252,-74.00536,10014
325,Canal St (1),40.722855,-74.00628,10013
326,Franklin St (1),40.71932,-74.00689,10013
327,"Chambers St (1,2,3)",40.715477,-74.00927,10007
328,WTC Cortlandt (1),40.711834,-74.01219,10006
329,Rector St (1),40.70751,-74.01379,10006
33,45 St (R),40.648937,-74.01001,11220
333,"Wall St (2,3)",40.70682,-74.0091,10005
334,"Clark St (2,3)",40.697468,-73.99309,11201
336,"Hoyt St (2,3)",40.690544,-73.98506,11201
337,"Nevins St (2,3,4,5)",40.688248,-73.98049,11217
339,"Bergen St (2,3)",40.68083,-73.9751,11217
34,53 St (R),40.64507,-74.01403,11220
340,"Grand Army Plaza (2,3)",40.675236,-73.97105,11238
341,"Eastern Pkwy-Brooklyn Museum (2,3)",40.671986,-73.96438,11238
343,Nostrand Av (3),40.669846,-73.95046,11225
344,Kingston Av (3),40.6694,-73.94216,11213
345,"Crown Hts-Utica Av (3,4)",40.668896,-73.932945,11213
346,Sutter Av-Rutland Rd (3),40.66472,-73.92261,11212
347,Saratoga Av (3),40.661453,-73.91633,11212
348,Rockaway Av (3),40.662548,-73.90894,11212
349,Junius St (3),40.663513,-73.90245,11212
35,"59 St (N,R)",40.64136,-74.01788,11220
350,Pennsylvania Av (3),40.664635,-73.8949,11207
351,Van Siclen Av (3),40.665447,-73.8894,11207
352,New Lots Av (3),40.666237,-73.88408,11207
353,"President St-Medgar Evers College (2,5)",40.667885,-73.95068,11225
354,"Sterling St (2,5)",40.662743,-73.95085,11225
355,"Winthrop St (2,5)",40.65665,-73.9502,11225
356,"Church Av (2,5)",40.650845,-73.94958,11226
357,"Beverly Rd (2,5)",40.6451,-73.94896,11226
358,"Newkirk Av-Little Haiti (2,5)",40.63997,-73.94841,11210
359,"Flatbush Av-Brooklyn College (2,5)",40.632835,-73.94764,11210
36,Bay Ridge Av (R),40.634968,-74.02338,11220
360,Pelham Bay Park (6),40.852463,-73.82812,10461
361,Buhre Av (6),40.84681,-73.832565,10461
362,Middletown Rd (6),40.843864,-73.83632,10461
363,Westchester Sq-E Tremont Av (6),40.839893,-73.84295,10461
364,Zerega Av (6),40.836487,-73.84704,10462
365,Castle Hill Av (6),40.834255,-73.85122,10462
366,Parkchester (6),40.833225,-73.86082,10472
367,St Lawrence Av (6),40.83151,-73.867615,10472
368,Morrison Av-Soundview (6),40.82952,-73.87452,10472
369,Elder Av (6),40.828583,-73.87916,10472
37,77 St (R),40.62974,-74.02551,11209
370,Whitlock Av (6),40.826527,-73.886284,10459
371,Hunts Point Av (6),40.82095,-73.89055,10459
372,Longwood Av (6),40.816105,-73.89644,10455
373,E 149 St (6),40.81212,-73.9041,10455
374,E 143 St-St Mary's St (6),40.80872,-73.90765,10454
375,Cypress Av (6),40.805367,-73.91404,10454
376,Brook Av (6),40.807568,-73.91924,10454
377,3 Av-138 St (6),40.810474,-73.92614,10454
